No,target_month,customer_id,customer_disp_name,balance_money,sales_money,credit_money,first_balance_money,other
1,201306,,株式会社ダイニングクリエイツ,-26250,26250,55650,3150,
2,201306,,有限会社芝企画,1340,0,0,1340,
3,201306,,株式会社ジョブ・システム,1890,1890,1889,1889,
4,201306,,有限会社瓢樹,2086,5172,4926,1840,
5,201306,,味商株式会社,2362,2362,0,0,
6,201306,,東京靴下株式会社,2625,9450,25200,18375,
7,201306,,株式会社元町ケーキ,3150,3150,3150,3150,
8,201306,,株式会社甘音屋,3150,3150,3150,3150,
9,201306,,日本ニット株式会社,4095,4095,14700,14700,
10,201306,,株式会社文殊,4200,0,7350,11550,
11,201306,,有限会社井津美屋,5250,5250,5250,5250,
12,201306,,株式会社大井肉店,5250,5250,5250,5250,
13,201306,,株式会社かなたに,5250,5250,5250,5250,
14,201306,,百済,5250,5250,5250,5250,
15,201306,,くちば物産株式会社,5250,5250,5250,5250,
16,201306,,株式会社大安,5250,5250,5250,5250,
17,201306,,高山堂,5250,5250,5250,5250,
18,201306,,株式会社錦平野,5250,10500,10500,5250,
19,201306,,株式会社西利,5250,5250,5250,5250,
20,201306,,プリマハム近畿販売株式会社,5250,5250,5250,5250,
21,201306,,有限会社ボック,5250,5250,5250,5250,
22,201306,,有限会社豆藤,5250,15750,10500,0,
23,201306,,株式会社ユーハイム,5250,10500,10500,5250,
24,201306,,株式会社亀の井亀井堂本家,5250,5250,5250,5250,
25,201306,,株式会社シンケールス,5250,5250,5250,5250,
26,201306,,有限会社藤辰,5250,5250,5250,5250,
27,201306,,株式会社萬坊,5250,5250,5250,5250,
28,201306,,飯田繊工株式会社,6300,0,0,6300,
29,201306,,オーノ・ニット株式会社,6300,6300,0,0,
30,201306,,株式会社ノア企画,6300,39900,33600,0,
31,201306,,株式会社三昌,7350,0,0,7350,
32,201306,,株式会社スミテックスインターナショナル,7350,0,0,7350,
33,201306,,株式会社ホテルマネージメントシステム,7559,0,0,7559,
34,201306,,株式会社播重,8085,6195,5250,7140,
35,201306,,有限会社フェスティバロ社,8400,8400,8400,8400,
36,201306,,アイメディア株式会社,8505,8505,11340,11340,
37,201306,,日本橋玉ゐ,9450,9450,43050,43050,
38,201306,,北海道ロングリバー株式会社,9975,0,0,9975,
39,201306,,株式会社オーゼットケー,10500,10500,0,0,
40,201306,,株式会社寿屋,10500,10500,10500,10500,
41,201306,,株式会社アンデルセン,10500,10500,10500,10500,
42,201306,,株式会社アーパ･アンド･イデア,10500,10500,10500,10500,
43,201306,,アイビー株式会社,10500,10500,10500,10500,
44,201306,,味の浜藤株式会社,10500,10500,10500,10500,
45,201306,,株式会社今井,10500,10500,48300,48300,
46,201306,,イズミフード株式会社,10500,21000,21000,10500,
47,201306,,有限会社梅の花Ｐｌｕｓ,10500,10500,10500,10500,
48,201306,,株式会社永源寺こんにゃく,10500,10500,10500,10500,
49,201306,,株式会社オールドリバー,10500,10500,10500,10500,
50,201306,,株式会社川池,10500,10500,10500,10500,
51,201306,,株式会社ＫＡＢＵＲＡＩ,10500,10500,10500,10500,
52,201306,,協和商事株式会社,10500,10500,10500,10500,
53,201306,,京都中央物産株式会社,10500,10500,10500,10500,
54,201306,,株式会社グルメワールド,10500,10500,10500,10500,
55,201306,,有限会社コーイチ,10500,10500,10500,10500,
56,201306,,株式会社小鯛雀鮨鮨萬,10500,39900,39900,10500,
57,201306,,山和食品株式会社,10500,42000,52500,21000,
58,201306,,株式会社サンリバー,10500,10500,10500,10500,
59,201306,,株式会社下鴨茶寮,10500,21000,21000,10500,
60,201306,,株式会社下村商店,10500,10500,10500,10500,
61,201306,,株式会社ジェーシー・コムサ,10500,10500,10500,10500,
62,201306,,株式会社ジャンボリア,10500,0,0,10500,
63,201306,,株式会社すし善,10500,10500,10500,10500,
64,201306,,株式会社点天,10500,21000,21000,10500,
65,201306,,西友商店株式会社,10500,15750,15750,10500,
66,201306,,株式会社ピックルスコーポレーション関西,10500,10500,10500,10500,
67,201306,,北極星産業株式会社,10500,10500,10500,10500,
68,201306,,株式会社香港聘珍樓ジャパン,10500,10500,10500,10500,
69,201306,,株式会社まつおか,10500,10500,10500,10500,
70,201306,,株式会社水野商店,10500,10500,10500,10500,
71,201306,,株式会社米八東日本,10500,10500,10500,10500,
72,201306,,株式会社レアールパスコベーカリーズ,10500,10500,10500,10500,
73,201306,,株式会社じゃがいもはうす,10500,10500,10500,10500,
74,201306,,株式会社フェリシモ,10500,10500,105000,105000,
75,201306,,株式会社韓亜,10500,10500,10500,10500,
76,201306,,株式会社菊太屋（トウイ米穀店）,10500,10500,10500,10500,
77,201306,,株式会社魚宗フーズ,10500,10500,10500,10500,
78,201306,,酒井食品株式会社,10500,10500,0,0,
79,201306,,株式会社ハートサプライ,10500,10500,10500,10500,
80,201306,,株式会社阪急デリカ,10500,21000,21000,10500,
81,201306,,有限会社フランスパン,10500,10500,10500,10500,
82,201306,,株式会社不二家,10500,21000,21000,10500,
83,201306,,蝶理株式会社,11550,69300,78750,21000,
84,201306,,株式会社バンガード,12600,12600,0,0,
85,201306,,株式会社ラボキ・ファクトリー,13650,13650,0,0,
86,201306,,株式会社モノクローム,15540,0,0,15540,
87,201306,,イサン株式会社,15592,15592,16065,16065,
88,201306,,株式会社ケー・エキスプレス,15750,36750,36750,15750,
89,201306,,アサヒロジ株式会社,15750,15750,6300,6300,
90,201306,,株式会社新潟海宝丸,15750,0,0,15750,
91,201306,,株式会社丸辰,17325,17325,153300,153300,
92,201306,,大丸興業株式会社,17953,17953,18898,18898,
93,201306,,和田八蒲鉾製造株式会社,18480,18480,51030,51030,
94,201306,,ジー・アール・アイ・ジャパン株式会社,18900,18900,6300,6300,
95,201306,,株式会社エルシオン,19635,25935,6300,0,
96,201306,,株式会社ハーブスグローイング,19950,19950,25410,25410,
97,201306,,東レ・オペロンテックス株式会社,21000,21000,15750,15750,
