得意先名称,ふりがな,呼称,担当者名,役職コード,部署名,郵便番号１,郵便番号２,住所,建物名,電話番号１,電話番号２,電話番号３,締日,納品書発行区分,得意先区分,入金種別,めも
具志堅商店,ぐしけんしょうてん,具志堅商店,,,,,,,,,,,,0,1,1,
アゴック株式会社,あごっく,アゴック株式会社,,,,,,,,,,,,0,1,1,
株式会社アズ,あず,株式会社アズ,,,,,,,,,,,,0,1,1,
株式会社アクティー,あくてぃー,株式会社アクティー,,,,,,,,,,,,0,1,1,
株式会社アンデックス,あんでっくす,株式会社アンデックス,,,,,,,,,,,,0,1,1,
株式会社アタゴ,あたご,株式会社アタゴ,,,,,,,,,,,,0,1,1,
アイメディア株式会社,あいめでぃあ,アイメディア株式会社,,,,,,,,,,,,0,1,1,
旭化成せんい株式会社,あさひかせいせんい,旭化成せんい株式会社,,,,,,,,,,,,0,1,1,
一広株式会社,いちひろ,一広株式会社,,,,,,,,,,,,0,1,1,
伊藤忠商事株式会社,いとうちゅうしょうじ,伊藤忠商事株式会社,,,,,,,,,,,,0,1,1,
伊藤忠ファッションシステム株式会社,いとうちゅうふぁっしょんしすてむ,伊藤忠ファッションシステム株式会社,,,,,,,,,,,,0,1,1,
井上ビニール株式会社,いのうえびにーる,井上ビニール株式会社,,,,,,,,,,,,0,1,1,
飯田繊工株式会社,いいだせんこう,飯田繊工株式会社,,,,,,,,,,,,0,1,1,
内海産業株式会社,うつみさんぎょう,内海産業株式会社,,,,,,,,,,,,0,1,1,
株式会社エフジーノーション,えふじーのーしょん,株式会社エフジーノーション,,,,,,,,,,,,0,1,1,
株式会社ＭIＣ,えむあいしー,株式会社ＭIＣ,,,,,,,,,,,,0,1,1,
株式会社エスケー,えすけー,株式会社エスケー,,,,,,,,,,,,0,1,1,
株式会社エニシル,えにしる,株式会社エニシル,,,,,,,,,,,,0,1,1,
エッジマインド,えっじまいんど,エッジマインド,,,,,,,,,,,,0,1,1,
株式会社エルシオン,えるしおん,株式会社エルシオン,,,,,,,,,,,,0,1,1,
株式会社エスケイエス,えすけいえす,株式会社エスケイエス,,,,,,,,,,,,0,1,1,
オーノ・ニット株式会社,おーのにっと,オーノ・ニット株式会社,,,,,,,,,,,,0,1,1,
株式会社オンワード樫山,おんわーどかしやま,株式会社オンワード樫山,,,,,,,,,,,,0,1,1,
オーミケンシ株式会社,おーみけんし,オーミケンシ株式会社,,,,,,,,,,,,0,1,1,
株式会社荻原,おぎわら,株式会社荻原,,,,,,,,,,,,0,1,1,
オーロラ株式会社,おーろら,オーロラ株式会社,,,,,,,,,,,,0,1,1,
尾崎商事株式会社,おざきしょうじ,尾崎商事株式会社,,,,,,,,,,,,0,1,1,
株式会社大津コーポレーション,おおつこーぽれーしょん,株式会社大津コーポレーション,,,,,,,,,,,,0,1,1,
株式会社オーゼットケー,おーぜっとけー,株式会社オーゼットケー,,,,,,,,,,,,0,1,1,
株式会社岡伸,おかしん,株式会社岡伸,,,,,,,,,,,,0,1,1,
株式会社カドリールニシダ,かどりーるにしだ,株式会社カドリールニシダ,,,,,,,,,,,,0,1,1,
株式会社カリンピア,かりんぴあ,株式会社カリンピア,,,,,,,,,,,,0,1,1,
株式会社川島織物セルコン,かわしまおりものせるこん,株式会社川島織物セルコン,,,,,,,,,,,,0,1,1,
株式会社くらし企画,くらしきかく,株式会社くらし企画,,,,,,,,,,,,0,1,1,
株式会社くらし科学研究所,くらしかがくけんきゅうしょ,株式会社くらし科学研究所,,,,,,,,,,,,0,1,1,
株式会社京急百貨店,けいきゅうひゃっかてん,株式会社京急百貨店,,,,,,,,,,,,0,1,1,
株式会社ＫＴＲ,けいてぃーあーる,株式会社ＫＴＲ,,,,,,,,,,,,0,1,1,
株式会社京急ストア,けいきゅうすとあ,株式会社京急ストア,,,,,,,,,,,,0,1,1,
株式会社ケイ・エム・ジェイ,けいえむじぇい,株式会社ケイ・エム・ジェイ,,,,,,,,,,,,0,1,1,
株式会社京急ショッピングセンター,けいきゅうしょっぴんぐせんたー,株式会社京急ショッピングセンター,,,,,,,,,,,,0,1,1,
株式会社神木,こうぎ,株式会社神木,,,,,,,,,,,,0,1,1,
株式会社寿屋,ことぶきや,株式会社寿屋,,,,,,,,,,,,0,1,1,
コスモ株式会社,こすも,コスモ株式会社,,,,,,,,,,,,0,1,1,
株式会社壽商會,ことぶきしょうかい,株式会社壽商會,,,,,,,,,,,,0,1,1,
栄レース株式会社,さかえれーす,栄レース株式会社,,,,,,,,,,,,0,1,1,
株式会社三陽商会,さんようしょうかい,株式会社三陽商会,,,,,,,,,,,,0,1,1,
サンユー株式会社,さんゆー,サンユー株式会社,,,,,,,,,,,,0,1,1,
株式会社サンファミリー,さんふぁみりー,株式会社サンファミリー,,,,,,,,,,,,0,1,1,
株式会社三喜,さんき,株式会社三喜,,,,,,,,,,,,0,1,1,
三洋電機株式会社,さんようでんき,三洋電機株式会社,,,,,,,,,,,,0,1,1,
ザ・パック株式会社,ざぱっく,ザ・パック株式会社,,,,,,,,,,,,0,1,1,
株式会社山嘉精練,さんかせいれん,株式会社山嘉精練,,,,,,,,,,,,0,1,1,
株式会社三昌,さんしょう,株式会社三昌,,,,,,,,,,,,0,1,1,
株式会社シャルレ,しゃるれ,株式会社シャルレ,,,,,,,,,,,,0,1,1,
ｼﾞｮﾙｼﾞｵｱﾙﾏｰﾆｼﾞｬﾊﾟﾝ株式会社,じょるじおあるまーにじゃぱん,ｼﾞｮﾙｼﾞｵｱﾙﾏｰﾆｼﾞｬﾊﾟﾝ株式会社,,,,,,,,,,,,0,1,1,
新谷株式会社,しんたに,新谷株式会社,,,,,,,,,,,,0,1,1,
株式会社シャンデール,しゃんでーる,株式会社シャンデール,,,,,,,,,,,,0,1,1,
神栄株式会社,しんえい,神栄株式会社,,,,,,,,,,,,0,1,1,
ジー・アール・アイ・ジャパン株式会社,じーあーるあいじゃぱん,ジー・アール・アイ・ジャパン株式会社,,,,,,,,,,,,0,1,1,
株式会社ＪＴＢ商事,じぇいてぃーびーしょうじ,株式会社ＪＴＢ商事,,,,,,,,,,,,0,1,1,
株式会社GSIクレオス,じーえすあいくれおす,株式会社GSIクレオス,,,,,,,,,,,,0,1,1,
株式会社スミテックスインターナショナル,すみてっくすいんたーなしょなる,株式会社スミテックスインターナショナル,,,,,,,,,,,,0,1,1,
株式会社ｽﾀｲﾘﾝｸﾞﾗｲﾌﾎｰﾙﾃﾞｨﾝｸﾞｽ,すたいりんぐらいふほーるでぃんぐす,株式会社ｽﾀｲﾘﾝｸﾞﾗｲﾌﾎｰﾙﾃﾞｨﾝｸﾞｽ,,,,,,,,,,,,0,1,1,
住商ブランドマネジメント株式会社,すみしょうぶらんどまねじめんと,住商ブランドマネジメント株式会社,,,,,,,,,,,,0,1,1,
株式会社鈴木ハーブ研究所,すずきはーぶけんきゅうしょ,株式会社鈴木ハーブ研究所,,,,,,,,,,,,0,1,1,
株式会社千趣会,せんしゅかい,株式会社千趣会,,,,,,,,,,,,0,1,1,
生活協同組合コープこうべ,せいかつきょうどうくみあいこーぷこうべ,生活協同組合コープこうべ,,,,,,,,,,,,0,1,1,
株式会社成和,せいわ,株式会社成和,,,,,,,,,,,,0,1,1,
全日空商事株式会社,ぜんにっくうしょうじ,全日空商事株式会社,,,,,,,,,,,,0,1,1,
株式会社世界文化社,せかいぶんかしゃ,株式会社世界文化社,,,,,,,,,,,,0,1,1,
株式会社総合商社エーワイ,そうごうしょうしゃえーわい,株式会社総合商社エーワイ,,,,,,,,,,,,0,1,1,
株式会社総商,そうしょう,株式会社総商,,,,,,,,,,,,0,1,1,
株式会社創楽,そうらく,株式会社創楽,,,,,,,,,,,,0,1,1,
株式会社ＳＯＰＩＣ,そぴっく,株式会社ＳＯＰＩＣ,,,,,,,,,,,,0,1,1,
株式会社タカギ,たかぎ,株式会社タカギ,,,,,,,,,,,,0,1,1,
高孝物産株式会社,たかこうぶっさん,高孝物産株式会社,,,,,,,,,,,,0,1,1,
株式会社タケダレース,てけだれーす,株式会社タケダレース,,,,,,,,,,,,0,1,1,
株式会社高畑,たかはた,株式会社高畑,,,,,,,,,,,,0,1,1,
株式会社髙島屋,たかしまや,株式会社髙島屋,,,,,,,,,,,,0,1,1,
ダイワボウノイ株式会社,だいわぼうのい,ダイワボウノイ株式会社,,,,,,,,,,,,0,1,1,
蝶理株式会社,ちょうり,蝶理株式会社,,,,,,,,,,,,0,1,1,
ディーシーアイ株式会社,でぃーしーあい,ディーシーアイ株式会社,,,,,,,,,,,,0,1,1,
株式会社Ｔ・Ｕ・Ｆ,てぃーゆーえふ,株式会社Ｔ・Ｕ・Ｆ,,,,,,,,,,,,0,1,1,
東レ株式会社,とうれ,東レ株式会社,,,,,,,,,,,,0,1,1,
