No,credit_date,customer_disp_name,credit_money,first_money,tesuryo,transfer
0,2013/8/5,カワノ株式会社,114240,115080,840,114240
1,2013/8/5,株式会社永楽屋,42000,42000,,42000
2,2013/8/5,株式会社草津亭,60900,60900,,60900
3,2013/8/5,株式会社ヨシエ・ママ,32445,32445,,32445
4,2013/8/6,株式会社ヒューマンウェブ,50400,50400,,50400
5,2013/8/8,株式会社モノクローム,15540,15540,,15540
6,2013/8/9,日本サニパック株式会社,50400,50400,,50400
7,2013/8/9,株式会社ポトマック,104265,105000,735,104265
8,2013/8/9,株式会社ノルコーポレーション,24150,24150,,24150
9,2013/8/9,ユーアールエー株式会社,53865,54600,735,53865
10,2013/8/12,株式会社千趣会,261975,21000,,21000
11,2013/8/12,栄レース株式会社,478485,472500,,472500
12,2013/8/12,株式会社鳴海餅本店,20685,21000,315,20685
13,2013/8/12,竹中食品株式会社,10500,10500,,10500
14,2013/8/12,株式会社岡伸,90384,91224,840,90384
15,2013/8/12,株式会社コンフォート　ラボ,13545,13650,105,13545
16,2013/8/13,株式会社T・U・F,30450,30450,,30450
17,2013/8/15,株式会社くらし科学研究所,10500,10500,,10500
18,2013/8/15,東レ・アムテックス株式会社,134400,92400,,92400
19,2013/8/16,株式会社京急ストア,39900,39900,,39900
20,2013/8/20,有限会社フロス,13965,14595,630,13965
21,2013/8/20,株式会社ウインクスジャパン,20475,21000,525,20475
22,2013/8/20,フラッグス株式会社,21000,10500,,10500
23,2013/8/20,株式会社ロックフィールド,26145,26250,105,26145
24,2013/8/20,株式会社浜作,6300,6300,,6300
25,2013/8/20,有限会社魚常,12600,12600,,12600
26,2013/8/21,株式会社オー．デリス．ドウ．シバタ,9450,9450,,9450
27,2013/7/8,株式会社三和,34230,34650,420,34230
28,2013/7/8,有限会社豆藤,5250,5250,,5250
29,2013/7/10,株式会社セルヴァン,27720,28350,630,27720
30,2013/7/10,株式会社レガルト,46410,47250,840,46410
31,2013/7/10,東洋アルミエコープロダクツ株式会社,3780,3780,,3780
32,2013/7/10,株式会社旬,30870,31500,630,30870
33,2013/7/10,吉田産業株式会社,50400,51240,840,50400
34,2013/7/11,株式会社タケダレース,108465,109305,840,108465
35,2013/7/16,株式会社ニューロンドン,53550,53550,,53550
36,2013/7/16,スイーツファクトリー,7350,7350,,7350
37,2013/7/16,株式会社大阪美乃利,6195,6300,105,6195
38,2013/7/16,株式会社ＭIＣ,314370,315000,630,314370
39,2013/7/16,三星商事株式会社,70980,70980,,70980
40,2013/7/16,株式会社ラボキ・ファクトリー,13440,13650,210,13440
41,2013/7/16,アゴック株式会社,80010,80010,,80010
42,2013/7/16,スカラー株式会社,24600,25200,600,24600
43,2013/7/16,株式会社アズ,253365,253365,,253365
44,2013/7/16,八重洲大地下街商店会,210000,210000,,210000
45,2013/7/16,サン食品工業株式会社,60951,48666,,48666
46,2013/7/16,株式会社アニバーサリー,52500,52500,,52500
47,2013/7/16,セーレン株式会社,39585,40425,840,39585
48,2013/7/16,株式会社カドリールニシダ,534114,534114,,534114
49,2013/7/16,株式会社ワールド,7298,7350,52,7298
50,2013/7/16,株式会社イノダコーヒ,64942,64942,,64942
51,2013/7/16,株式会社レナウン,17640,17640,,17640
52,2013/7/16,有限会社フランスパン,10185,10500,315,10185
53,2013/7/16,株式会社大水直売,104685,105000,315,104685
54,2013/7/16,株式会社ラピーヌ,62895,63000,105,62895
55,2013/7/16,東レアムテックス株式会社,68250,68250,,68250
56,2013/7/22,株式会社笹屋伊織,15750,15750,,15750
57,2013/7/22,株式会社シモジマ,24780,24780,,24780
58,2013/8/23,株式会社大丸松坂屋百貨店　大丸梅田店,477191,477191,,477191
59,2013/8/23,株式会社大丸松坂屋百貨店　大丸京都店,484741,484741,,484741
60,2013/8/23,株式会社大丸松坂屋百貨店　大丸芦屋店,95432,95432,,95432
61,2013/8/23,株式会社大丸松坂屋百貨店　大丸浦和パルコ店,160167,160167,,160167
62,2013/8/23,株式会社大丸松坂屋百貨店　大丸札幌店,520198,520198,,520198
63,2013/8/23,株式会社大丸松坂屋百貨店　大丸山科店,99215,99215,,99215
64,2013/8/23,株式会社大丸松坂屋百貨店　大丸心斎橋店,412455,412455,,412455
65,2013/8/23,株式会社大丸松坂屋百貨店　大丸神戸店,446952,446952,,446952
66,2013/8/23,株式会社大丸松坂屋百貨店　大丸須磨店,173865,173865,,173865
67,2013/8/23,株式会社大丸松坂屋百貨店　大丸東京店,717209,717209,,717209
68,2013/8/23,株式会社仙太郎,10500,10500,,10500
69,2013/8/23,アクアレール,12600,12600,,12600
70,2013/8/24,株式会社T・U・F,10605,10605,,10605
71,2013/8/30,ﾕﾆﾁｶｶﾞｰﾒﾝﾃｯｸ株式会社,9555,9555,,9555
72,2013/8/30,株式会社山銀,29400,29400,,29400
73,2013/8/30,株式会社アニバーサリー,105000,105000,,105000
74,2013/8/30,有限会社山本商店,3675,3675,,3675
75,2013/8/30,株式会社マ・メール,219083,219083,,219083
76,2013/8/30,有限会社三好商店,31500,31500,,31500
77,2013/8/30,株式会社フルーツ・ジャパン,10500,10500,,10500
78,2013/8/30,株式会社アビー,21000,21000,,21000
79,2013/8/30,高孝物産株式会社,39375,39375,,39375
80,2013/8/30,株式会社三久食品,6300,6300,,6300
81,2013/8/30,株式会社京樽,21000,21000,,21000
82,2013/8/30,オーミケンシ株式会社,4410,4410,,4410
83,2013/8/30,旭化成せんい株式会社,9975,9975,,9975
