No,credit_date,customer_disp_name,credit_money,first_money,tesuryo,transfer
3,2013/8/5,株式会社ヨシエ・ママ,32445,32445,,32445
15,2013/8/12,株式会社コンフォート　ラボ,13545,13650,105,13545
16,2013/8/13,株式会社T・U・F,30450,30450,,30450
26,2013/8/21,株式会社オー．デリス．ドウ．シバタ,9450,9450,,9450
58,2013/8/23,株式会社大丸松坂屋百貨店　大丸梅田店,477191,477191,,477191
59,2013/8/23,株式会社大丸松坂屋百貨店　大丸京都店,484741,484741,,484741
60,2013/8/23,株式会社大丸松坂屋百貨店　大丸芦屋店,95432,95432,,95432
61,2013/8/23,株式会社大丸松坂屋百貨店　大丸浦和パルコ店,160167,160167,,160167
62,2013/8/23,株式会社大丸松坂屋百貨店　大丸札幌店,520198,520198,,520198
63,2013/8/23,株式会社大丸松坂屋百貨店　大丸山科店,99215,99215,,99215
64,2013/8/23,株式会社大丸松坂屋百貨店　大丸心斎橋店,412455,412455,,412455
65,2013/8/23,株式会社大丸松坂屋百貨店　大丸神戸店,446952,446952,,446952
66,2013/8/23,株式会社大丸松坂屋百貨店　大丸須磨店,173865,173865,,173865
67,2013/8/23,株式会社大丸松坂屋百貨店　大丸東京店,717209,717209,,717209
70,2013/8/24,株式会社T・U・F,10605,10605,,10605
72,2013/8/30,株式会社山銀,29400,29400,,29400
73,2013/8/30,株式会社アニバーサリー,105000,105000,,105000
76,2013/8/30,有限会社三好商店,31500,31500,,31500
78,2013/8/30,株式会社アビー,21000,21000,,21000
80,2013/8/30,株式会社三久食品,6300,6300,,6300
81,2013/8/30,株式会社京樽,21000,21000,,21000
82,2013/8/30,オーミケンシ株式会社,4410,4410,,4410
83,2013/8/30,旭化成せんい株式会社,9975,9975,,9975
