No,データパターン,データタイプ,得意先正式名称,ふりがな,呼称,締日,締日From,締日To,納品書印刷,入金種別,得意先区分,請求日,売上計上日,報告書No,報告書枝From,報告書枝To,担当者,研究所,部門,摘要,品名,税区分,単位,数量,単価,税抜金額,消費税,税込額,メモ
,,,atelierＡＣＢ,,atelierＡＣＢ,,,,,その他,一般外部,20120718,20120718,,,,政川真紀,大阪研究所,雑貨,商品試験,a婦人靴　ヒール取付強さ､繰返し疲労試験,課税(5%),,,,13000,650,13650,
,,,atelierＡＣＢ,,atelierＡＣＢ,,,,,その他,一般外部,20120731,20120731,,,,政川真紀,大阪研究所,雑貨,商品試験,婦人靴・ヒール　　各１点,課税(5%),,,,13000,650,13650,
,,,atelierＡＣＢ,,atelierＡＣＢ,,,,,その他,一般外部,20130201,20130201,,,,政川真紀,大阪研究所,雑貨,商品試験,婦人靴、ヒール材、表底材　,課税(5%),,,,35000,1750,36750,
,,,ＣＨＯＹＡ株式会社,,ＣＨＯＹＡ株式会社,,,,,その他,大丸グループ,20120420,20120420,,,,丹羽充代,大阪研究所,繊維,情報販売,紳士オーダーワイシャツ,課税(5%),,,,13600,680,14280,
,,,ＣＨＯＹＡ株式会社,,ＣＨＯＹＡ株式会社,,,,,その他,大丸グループ,20120912,20120912,,,,松平真由美,大阪研究所,繊維,情報販売,紳士オーダーワイシャツの洗濯後のしわ,課税(5%),,,,14300,715,15015,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120828,20120828,,,,白井宏児,東京研究所,食品,商品試験,甲州山懐放牧卵,課税(5%),,,,7500,375,7875,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120912,20120912,,,,川島知剛,東京研究所,食品,商品試験,生卵　細菌検査３項目､サルモネラ,課税(5%),,,,7500,375,7875,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20130121,20130121,,,,白井宏児,東京研究所,食品,商品試験,作り手の顔が見えるたまご,課税(5%),,,,7500,375,7875,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120324,20120324,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120419,20120419,,,,木村みゆき,東京研究所,食品,商品試験,卵：ユキヒラエッグ　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120519,20120519,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120725,20120725,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120827,20120827,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20120922,20120922,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ　　一般卵質試験,課税(5%),,,,16000,800,16800,
,,,ＪＡ全農たまご株式会社,,ＪＡ全農たまご株式会社,,,,,その他,一般外部,20121020,20121020,,,,川島知剛,東京研究所,食品,商品試験,卵：ユキヒラエッグ,課税(5%),,,,16000,800,16800,
